12÷2=？  	12÷2=？  <br>谜底：<font color="#FFFFFF">商陆  </font>\n
闪。 （打中国青年英雄名一）  	闪。 （打中国青年英雄名一）  <br>谜底：<font color="#FFFFFF">雷锋</font>\n
闪光照像。 （打一艺术形式）  	闪光照像。 （打一艺术形式）  <br>谜底：<font color="#FFFFFF">电影  </font>\n
闪闪航标（二字影片名）	闪闪航标（二字影片名）<br>谜底：<font color="#FFFFFF">向导</font>\n
陕西省，西安人 （字 ）	陕西省，西安人 （字 ）<br>谜底：<font color="#FFFFFF">侠</font>\n
扇子。（打一地埋名词）  	扇子。（打一地埋名词）  <br>谜底：<font color="#FFFFFF">热带  </font>\n
伤心的雨有转变（词牌）	伤心的雨有转变（词牌）<br>谜底：<font color="#FFFFFF">天下乐</font>\n
商家让利打八折（红人）	商家让利打八折（红人）<br>谜底：<font color="#FFFFFF">贾二设</font>\n
商品不批发	商品不批发<br>谜底：<font color="#FFFFFF">哈哈,答案就是丹麦! </font>\n
赏罚分明。  	赏罚分明。  <br>谜底：<font color="#FFFFFF">法正</font>\n
上苍开眼无屈冤（三国人物）	上苍开眼无屈冤（三国人物）<br>谜底：<font color="#FFFFFF">关平</font>\n
上厕所排号	上厕所排号<br>谜底：<font color="#FFFFFF">伦敦! </font>\n
上林垂钓(打一成语)	上林垂钓(打一成语)<br>谜底：<font color="#FFFFFF">缘木求鱼</font>\n
上楼领奖。 （卷帘格，打一京剧名）  	上楼领奖。 （卷帘格，打一京剧名）  <br>谜底：<font color="#FFFFFF">拿高登  </font>\n
上门勿送礼（礼貌用语）	上门勿送礼（礼貌用语）<br>谜底：<font color="#FFFFFF">请君光临</font>\n
上气接下气 (字) 	上气接下气 (字) <br>谜底：<font color="#FFFFFF">乞</font>\n
上去一团烟，下来一条线， 好吃没滋味，脏了不能洗。 （打一自然物） 	上去一团烟，下来一条线， 好吃没滋味，脏了不能洗。 （打一自然物） <br>谜底：<font color="#FFFFFF">水</font>\n
上山点点头，下山顺水流， 看人不转眼，洗脸不梳头。 （打四种动物） 	上山点点头，下山顺水流， 看人不转眼，洗脸不梳头。 （打四种动物） <br>谜底：<font color="#FFFFFF">马、蛇、狼、猫</font>\n
上生耳朵，下长嘴巴， 互不见面，可以说话。（打一电讯工具）  	上生耳朵，下长嘴巴， 互不见面，可以说话。（打一电讯工具）  <br>谜底：<font color="#FFFFFF">电话  </font>\n
上塔棚，下塔棚， 开黄花，结青龙。 	上塔棚，下塔棚， 开黄花，结青龙。 <br>谜底：<font color="#FFFFFF">丝瓜</font>\n
上下奔走为改革 （字 ）	上下奔走为改革 （字 ）<br>谜底：<font color="#FFFFFF">协</font>\n
上下一心把住关（字）	上下一心把住关（字）<br>谜底：<font color="#FFFFFF">卡</font>\n
上下只差一点点（字）	上下只差一点点（字）<br>谜底：<font color="#FFFFFF">咔</font>\n
上下左右一条心 （字） 	上下左右一条心 （字） <br>谜底：<font color="#FFFFFF">愣</font>\n
上一半，下一半， 中间有线看不见， 两头寒，中间热， 一天一夜转一圈。（打一天体） 	上一半，下一半， 中间有线看不见， 两头寒，中间热， 一天一夜转一圈。（打一天体） <br>谜底：<font color="#FFFFFF">地球</font>\n
上肢下肢都是手， 有时爬来有时走， 走时很象一个人， 爬时又象一条狗。	上肢下肢都是手， 有时爬来有时走， 走时很象一个人， 爬时又象一条狗。<br>谜底：<font color="#FFFFFF">猴子</font>\n
上肢下肢都是手， 有时爬来有时走， 走时很象一个人， 爬时又象一条狗。	上肢下肢都是手， 有时爬来有时走， 走时很象一个人， 爬时又象一条狗。<br>谜底：<font color="#FFFFFF">猴子</font>\n
上只有妈妈好（中药名）	上只有妈妈好（中药名）<br>谜底：<font color="#FFFFFF">光知母</font>\n
少小离家老大回 （字 ）	少小离家老大回 （字 ）<br>谜底：<font color="#FFFFFF">夭</font>\n
少逸神童（党史人名）	少逸神童（党史人名）<br>谜底：<font color="#FFFFFF">刘少奇</font>\n
申曲。（打一杂志名）  	申曲。（打一杂志名）  <br>谜底：<font color="#FFFFFF">上海歌 </font>\n
身残心不残 （字 ）	身残心不残 （字 ）<br>谜底：<font color="#FFFFFF">息</font>\n
身长八寸，心肠直硬， 助人学习，不怕牺牲。 （打一文具） 	身长八寸，心肠直硬， 助人学习，不怕牺牲。 （打一文具） <br>谜底：<font color="#FFFFFF">铅笔 </font>\n
身穿钢铁衣， 牙齿肚里藏， 吃饭沙沙响， 粪便猪马尝。（打一农机） 	身穿钢铁衣， 牙齿肚里藏， 吃饭沙沙响， 粪便猪马尝。（打一农机） <br>谜底：<font color="#FFFFFF">饲料粉碎机</font>\n
身穿黑缎袍，尾马象剪刀， 冬天向南去，春天回来早。 	身穿黑缎袍，尾马象剪刀， 冬天向南去，春天回来早。 <br>谜底：<font color="#FFFFFF">燕子</font>\n
身穿红袍,头戴绿帽,坐在泥里,呆头呆脑	身穿红袍,头戴绿帽,坐在泥里,呆头呆脑<br>谜底：<font color="#FFFFFF">是胡萝卜! </font>\n
身穿红衣裳，常年把哨放， 遇到紧急事，敢向火海闯。 	身穿红衣裳，常年把哨放， 遇到紧急事，敢向火海闯。 <br>谜底：<font color="#FFFFFF">灭火器 </font>\n
身穿梅花袍，头上顶双角， 窜山又越岭，全身都是宝。 	身穿梅花袍，头上顶双角， 窜山又越岭，全身都是宝。 <br>谜底：<font color="#FFFFFF">鹿</font>\n
身穿梅花袍，头上顶双角， 窜山又越岭，全身都是宝。 	身穿梅花袍，头上顶双角， 窜山又越岭，全身都是宝。 <br>谜底：<font color="#FFFFFF">鹿</font>\n
身抛冠盖隐于市（ 字 ）	身抛冠盖隐于市（ 字 ）<br>谜底：<font color="#FFFFFF">帝</font>\n
身披一件大皮袄， 山坡上面吃青草， 为了别人穿得暖， 甘心脱下自己毛	身披一件大皮袄， 山坡上面吃青草， 为了别人穿得暖， 甘心脱下自己毛<br>谜底：<font color="#FFFFFF">绵羊</font>\n
身上乌里乌，赤脚走江湖， 别人看他吃饱，其实天天饿肚。 	身上乌里乌，赤脚走江湖， 别人看他吃饱，其实天天饿肚。 <br>谜底：<font color="#FFFFFF">鱼鹰</font>\n
身体白又胖，常在泥中藏， 浑身是蜂窝，生熟都能尝。 	身体白又胖，常在泥中藏， 浑身是蜂窝，生熟都能尝。 <br>谜底：<font color="#FFFFFF">藕</font>\n
 身体扁又圆，爱住黑房间， 有光见不到，人睡来捣乱。  	 身体扁又圆，爱住黑房间， 有光见不到，人睡来捣乱。  <br>谜底：<font color="#FFFFFF">是臭虫! </font>\n
身体扁又圆，爱住黑房间， 有光见不到，人睡来捣乱。 	身体扁又圆，爱住黑房间， 有光见不到，人睡来捣乱。 <br>谜底：<font color="#FFFFFF">臭虫</font>\n
身体长长分几节， 燃料提练很特别， 运载工具它第一， 飞向太空不停歇。（打一运载工具）  	身体长长分几节， 燃料提练很特别， 运载工具它第一， 飞向太空不停歇。（打一运载工具）  <br>谜底：<font color="#FFFFFF">多级火箭  </font>\n
身体多轻柔，逍遥漫天游， 风来它就躲，雨来它带头。 （打一自然物） 	身体多轻柔，逍遥漫天游， 风来它就躲，雨来它带头。 （打一自然物） <br>谜底：<font color="#FFFFFF">云</font>\n
身体花绿，走路弯曲， 洞里进出，开口恶毒。 	身体花绿，走路弯曲， 洞里进出，开口恶毒。 <br>谜底：<font color="#FFFFFF">蛇</font>\n
身体晶莹又透明，一颗丹心分外红， 不声不响墙上结，随时报热又报冷。 （打一仪表）  	身体晶莹又透明，一颗丹心分外红， 不声不响墙上结，随时报热又报冷。 （打一仪表）  <br>谜底：<font color="#FFFFFF">温度表  </font>\n
身体虽不大，钢针满身插， 遇敌蜷一团，老虎也无法。 	身体虽不大，钢针满身插， 遇敌蜷一团，老虎也无法。 <br>谜底：<font color="#FFFFFF">刺猬</font>\n
身体圆圆肚子空， 不遇喜事不吭声， 节日游行庆胜利， 槌子越打越高兴。 （打一乐器） 	身体圆圆肚子空， 不遇喜事不吭声， 节日游行庆胜利， 槌子越打越高兴。 （打一乐器） <br>谜底：<font color="#FFFFFF">鼓 </font>\n
身体圆圆象只桶， 田间果园来劳动， 喷云吐雾小嘴巴， 害虫见它把命送。 （打一农业用具） 	身体圆圆象只桶， 田间果园来劳动， 喷云吐雾小嘴巴， 害虫见它把命送。 （打一农业用具） <br>谜底：<font color="#FFFFFF">喷雾器 </font>\n
身在水下边， 眼睛出水面， 行动很灵巧， 深海把家安。 （打一武器） 	身在水下边， 眼睛出水面， 行动很灵巧， 深海把家安。 （打一武器） <br>谜底：<font color="#FFFFFF">潜水艇</font>\n
神态（成语）	神态（成语）<br>谜底：<font color="#FFFFFF">一表非凡</font>\n
神仙派对（猜一谚语）	神仙派对（猜一谚语）<br>谜底：<font color="#FFFFFF">共享天伦之乐</font>\n
神州栋梁。（打一杂志名）  	神州栋梁。（打一杂志名）  <br>谜底：<font color="#FFFFFF">中国青年  </font>\n
沈阳有雨（七言宋词句）	沈阳有雨（七言宋词句）<br>谜底：<font color="#FFFFFF">到黄昏点点滴滴</font>\n
审判长。 （电视剧名一）  	审判长。 （电视剧名一）  <br>谜底：<font color="#FFFFFF">首席法官  </font>\n
声声慢。  	声声慢。  <br>谜底：<font color="#FFFFFF">徐迟</font>\n
声音用何检测 (字) 	声音用何检测 (字) <br>谜底：<font color="#FFFFFF">贫</font>\n
生产必须出正品。 （成语）	生产必须出正品。 （成语）<br>谜底：<font color="#FFFFFF">不可造次 </font>\n
生根不落地,有叶不开花,街上有得卖,园里不种它	生根不落地,有叶不开花,街上有得卖,园里不种它<br>谜底：<font color="#FFFFFF">是豆牙! </font>\n
生来本无形，走动便有声， 夏天无它热，冬天有它冷。 （打一自然现象） 	生来本无形，走动便有声， 夏天无它热，冬天有它冷。 （打一自然现象） <br>谜底：<font color="#FFFFFF">风</font>\n
生来我是千里眼， 敌机一来就看见， 立刻告诉指挥部， 拉开天窗把敌歼。 （打一军事设备） 	生来我是千里眼， 敌机一来就看见， 立刻告诉指挥部， 拉开天窗把敌歼。 （打一军事设备） <br>谜底：<font color="#FFFFFF">雷达</font>\n
生来性暴躁，身穿黄皮袄， 自称山中王，别猜它是猫。 	生来性暴躁，身穿黄皮袄， 自称山中王，别猜它是猫。 <br>谜底：<font color="#FFFFFF">虎</font>\n
生女当如林凤娇（江苏名胜）	生女当如林凤娇（江苏名胜）<br>谜底：<font color="#FFFFFF">枫桥</font>\n
生死之交一碗酒（毛泽东词句）	生死之交一碗酒（毛泽东词句）<br>谜底：<font color="#FFFFFF">同心干</font>\n
生我者。（打一外国文学作品名）  	生我者。（打一外国文学作品名）  <br>谜底：<font color="#FFFFFF">母亲</font>\n
生于忧患（新词语谜）	生于忧患（新词语谜）<br>谜底：<font color="#FFFFFF">安乐死</font>\n
生在山里，死在锅里， 藏在瓶里，活在杯里。 	生在山里，死在锅里， 藏在瓶里，活在杯里。 <br>谜底：<font color="#FFFFFF">茶叶</font>\n
 生在山岭中,颜色都相同,到了你们家,有绿又有红	 生在山岭中,颜色都相同,到了你们家,有绿又有红<br>谜底：<font color="#FFFFFF">茶叶</font>\n
生在山中，一色相同， 泡在水中，有绿有红。 	生在山中，一色相同， 泡在水中，有绿有红。 <br>谜底：<font color="#FFFFFF">茶叶</font>\n
生在水中，就怕水冲， 一到水里，无影无踪。 	生在水中，就怕水冲， 一到水里，无影无踪。 <br>谜底：<font color="#FFFFFF">盐 </font>\n
生在水中，却怕水冲， 放在水里，无影无踪。 （打一自然物）	生在水中，却怕水冲， 放在水里，无影无踪。 （打一自然物）<br>谜底：<font color="#FFFFFF">冰</font>\n
 生在田野中，昼藏夜里行， 背了一身刺，遇敌呈球形。 	 生在田野中，昼藏夜里行， 背了一身刺，遇敌呈球形。 <br>谜底：<font color="#FFFFFF">刺猬</font>\n
生在土里十八杈， 一年能开两次花， 先开金花结青果， 后开银花落万家。 	生在土里十八杈， 一年能开两次花， 先开金花结青果， 后开银花落万家。 <br>谜底：<font color="#FFFFFF">棉花</font>\n
生在燕地。 （打一话剧名）  	生在燕地。 （打一话剧名）  <br>谜底：<font color="#FFFFFF">北京人  </font>\n
升重。 (成语)	升重。 (成语)<br>谜底：<font color="#FFFFFF">恰如其分 </font>\n
剩水残山双剑横 (字)	剩水残山双剑横 (字)<br>谜底：<font color="#FFFFFF">汹</font>\n
胜境（成语）	胜境（成语）<br>谜底：<font color="#FFFFFF">不败之地</font>\n
圣叹无人能及仙（江苏名胜）	圣叹无人能及仙（江苏名胜）<br>谜底：<font color="#FFFFFF">金山</font>\n
圣意有变（二字影片名）	圣意有变（二字影片名）<br>谜底：<font color="#FFFFFF">怪音</font>\n
圣旨（字）	圣旨（字）<br>谜底：<font color="#FFFFFF">玲</font>\n
师旷（成语）	师旷（成语）<br>谜底：<font color="#FFFFFF">乌有先生</font>\n
失火原因细查探（三字新词）	失火原因细查探（三字新词）<br>谜底：<font color="#FFFFFF">考研热</font>\n
失恋。（打一莎士比亚剧作）  	失恋。（打一莎士比亚剧作）  <br>谜底：<font color="#FFFFFF">爱的徒劳  </font>\n
失陪了（字）	失陪了（字）<br>谜底：<font color="#FFFFFF">选</font>\n
诗魂（四字影片名）	诗魂（四字影片名）<br>谜底：<font color="#FFFFFF">风流千古</font>\n
诗仙论稿（文学体裁）	诗仙论稿（文学体裁）<br>谜底：<font color="#FFFFFF">白话文</font>\n
十 （日本前政治家 ）	十 （日本前政治家 ）<br>谜底：<font color="#FFFFFF">田中</font>\n
十（中药名）	十（中药名）<br>谜底：<font color="#FFFFFF">三星补汁</font>\n
十．（打湖南一地名）  	十．（打湖南一地名）  <br>谜底：<font color="#FFFFFF">田心  </font>\n
十．（以下各打中国现代作家名一）  	十．（以下各打中国现代作家名一）  <br>谜底：<font color="#FFFFFF">田间</font>\n
十八乘六 （字 ）	十八乘六 （字 ）<br>谜底：<font color="#FFFFFF">校</font>\n
十八间（二字影片名）	十八间（二字影片名）<br>谜底：<font color="#FFFFFF">木屋</font>\n
十八子在一起。 （以下打中国古代人名之一）  	十八子在一起。 （以下打中国古代人名之一）  <br>谜底：<font color="#FFFFFF">李自</font>\n
十二点（字）	十二点（字）<br>谜底：<font color="#FFFFFF">斗</font>\n
十方之普，莫非王土 （字） 	十方之普，莫非王土 （字） <br>谜底：<font color="#FFFFFF">理</font>\n
十分高大俊美（党史人名）	十分高大俊美（党史人名）<br>谜底：<font color="#FFFFFF">毛岸英</font>\n
十分体贴，十分满意（二字军事名词）	十分体贴，十分满意（二字军事名词）<br>谜底：<font color="#FFFFFF">射角</font>\n
十个哥哥（字）	十个哥哥（字）<br>谜底：<font color="#FFFFFF">克</font>\n
十九乘十九， 黑白两对手， 有眼看不见， 无眼难活久。 （打一体育用品） 	十九乘十九， 黑白两对手， 有眼看不见， 无眼难活久。 （打一体育用品） <br>谜底：<font color="#FFFFFF">围棋 </font>\n
十开（成语）	十开（成语）<br>谜底：<font color="#FFFFFF">三三两两</font>\n
十女同耕半边田（字）	十女同耕半边田（字）<br>谜底：<font color="#FFFFFF">妻</font>\n
十叁点（字）	十叁点（字）<br>谜底：<font color="#FFFFFF">汁</font>\n
十天跑完长城。 （成语）	十天跑完长城。 （成语）<br>谜底：<font color="#FFFFFF">一日千里 </font>\n
十五。 (成语)	十五。 (成语)<br>谜底：<font color="#FFFFFF">七拼八凑 </font>\n
十五天（字）	十五天（字）<br>谜底：<font color="#FFFFFF">胖</font>\n
十一（二字电工术语）	十一（二字电工术语）<br>谜底：<font color="#FFFFFF">接地</font>\n
十月二日巧安排（党史人名）	十月二日巧安排（党史人名）<br>谜底：<font color="#FFFFFF">王明</font>\n
十字对十字，太阳对月亮	十字对十字，太阳对月亮<br>谜底：<font color="#FFFFFF">朝</font>\n
十字路都到居庸关。 （成语）	十字路都到居庸关。 （成语）<br>谜底：<font color="#FFFFFF">四通八达 </font>\n
十字路口不相让（成语）	十字路口不相让（成语）<br>谜底：<font color="#FFFFFF">横冲直撞</font>\n
 十字路口放兔子	 十字路口放兔子<br>谜底：<font color="#FFFFFF">四川! </font>\n
十叩柴扉九不开（四字俗语）	十叩柴扉九不开（四字俗语）<br>谜底：<font color="#FFFFFF">老关系户</font>\n
石头成堆（字）	石头成堆（字）<br>谜底：<font color="#FFFFFF">磊</font>\n
时差一天（字）	时差一天（字）<br>谜底：<font color="#FFFFFF">寸</font>\n
时无话（古代书名）	时无话（古代书名）<br>谜底：<font color="#FFFFFF">子不语</font>\n
时至日落又相逢 （字 ）	时至日落又相逢 （字 ）<br>谜底：<font color="#FFFFFF">对</font>\n
什么样的姜辣（中药名二）	什么样的姜辣（中药名二）<br>谜底：<font color="#FFFFFF">当归、苍耳</font>\n
食盐增产。（打湖北一地名）  	食盐增产。（打湖北一地名）  <br>谜底：<font color="#FFFFFF">咸丰  </font>\n
食盐增产。（打湖北一地名）	食盐增产。（打湖北一地名）<br>谜底：<font color="#FFFFFF">咸丰</font>\n
实在淘气（二字商业名词）	实在淘气（二字商业名词）<br>谜底：<font color="#FFFFFF">真皮</font>\n
矢志不移搞改革（四字桥牌术语）	矢志不移搞改革（四字桥牌术语）<br>谜底：<font color="#FFFFFF">坚定转化</font>\n
世界大战（二字日常行为用语）	世界大战（二字日常行为用语）<br>谜底：<font color="#FFFFFF">打球</font>\n
世界上第一台计算机是什么时候发明的？	世界上第一台计算机是什么时候发明的？<br>谜底：<font color="#FFFFFF">1956年</font>\n
事事齐全说汉高。  	事事齐全说汉高。  <br>谜底：<font color="#FFFFFF">刘备</font>\n
势均力敌。（打一物理名词）  	势均力敌。（打一物理名词）  <br>谜底：<font color="#FFFFFF">平衡  </font>\n
势如破竹 （字 ）	势如破竹 （字 ）<br>谜底：<font color="#FFFFFF">不</font>\n
是床不能睡， 马达歌声脆， 刀走钢屑舞， 生产捷报飞。 （打一工业设施）  	是床不能睡， 马达歌声脆， 刀走钢屑舞， 生产捷报飞。 （打一工业设施）  <br>谜底：<font color="#FFFFFF">机床  </font>\n
是耳不像耳,像耳不是耳	是耳不像耳,像耳不是耳<br>谜底：<font color="#FFFFFF">耶</font>\n
是鸡不长毛，是牛不耕田， 是猫不捕鼠，是虎不上山。（打四种动物） 	是鸡不长毛，是牛不耕田， 是猫不捕鼠，是虎不上山。（打四种动物） <br>谜底：<font color="#FFFFFF">田鸡、蜗牛 熊猫、壁虎</font>\n
是牛从来不耕田， 体矮毛密能耐寒， 爬冰卧雪善驮运， "高原之舟"人人赞。 	是牛从来不耕田， 体矮毛密能耐寒， 爬冰卧雪善驮运， "高原之舟"人人赞。 <br>谜底：<font color="#FFFFFF">牦牛</font>\n
是谓大家（字）	是谓大家（字）<br>谜底：<font color="#FFFFFF">讼</font>\n
侍奕。  	侍奕。  <br>谜底：<font color="#FFFFFF">司棋</font>\n
市容（三字俗语）	市容（三字俗语）<br>谜底：<font color="#FFFFFF">买面子</font>\n
室内写生（称谓）	室内写生（称谓）<br>谜底：<font color="#FFFFFF">画家</font>\n
视觉差（成语）	视觉差（成语）<br>谜底：<font color="#FFFFFF">相形失色</font>\n
视虱如轮（五字俗语）	视虱如轮（五字俗语）<br>谜底：<font color="#FFFFFF">从小看到大</font>\n
试金石（二字俗语）	试金石（二字俗语）<br>谜底：<font color="#FFFFFF">较真</font>\n
试卷优异。 （打一滑稽戏名）  	试卷优异。 （打一滑稽戏名）  <br>谜底：<font color="#FFFFFF">出色的答案  </font>\n
收禾获利得金（字）	收禾获利得金（字）<br>谜底：<font color="#FFFFFF">钊</font>\n
手工作坊。（打一化学名词）  	手工作坊。（打一化学名词）  <br>谜底：<font color="#FFFFFF">无机  </font>\n
手携顽童入洞房。 （打一评剧名）  	手携顽童入洞房。 （打一评剧名）  <br>谜底：<font color="#FFFFFF">小女婿  </font>\n
首创（成语）	首创（成语）<br>谜底：<font color="#FFFFFF">无中生有</font>\n
首乌。 （打京剧名一）  	首乌。 （打京剧名一）  <br>谜底：<font color="#FFFFFF">黑头  </font>\n
守门员（字 ）	守门员（字 ）<br>谜底：<font color="#FFFFFF">闪</font>\n
守岁（《红楼梦》人名）	守岁（《红楼梦》人名）<br>谜底：<font color="#FFFFFF">迎春</font>\n
瘦了身的单黄月饼	瘦了身的单黄月饼<br>谜底：<font color="#FFFFFF">迷你月饼</font>\n
兽王的老家。（打黑龙江一地名）  	兽王的老家。（打黑龙江一地名）  <br>谜底：<font color="#FFFFFF">虎林  </font>\n
输的很窝囊（动物）	输的很窝囊（动物）<br>谜底：<font color="#FFFFFF">北极熊</font>\n
输的很窝囊（动物）	输的很窝囊（动物）<br>谜底：<font color="#FFFFFF">北极熊</font>\n
疏而不漏（三字电脑名词）	疏而不漏（三字电脑名词）<br>谜底：<font color="#FFFFFF">因特网</font>\n
疏篱不与花为护（三字电脑名词）	疏篱不与花为护（三字电脑名词）<br>谜底：<font color="#FFFFFF">因特网</font>\n
疏星残月照河西 （字 ）	疏星残月照河西 （字 ）<br>谜底：<font color="#FFFFFF">沁</font>\n
书房谈天（打中国小说名一）  	书房谈天（打中国小说名一）  <br>谜底：<font color="#FFFFFF">聊斋</font>\n
书房谈天（小说名）	书房谈天（小说名）<br>谜底：<font color="#FFFFFF">聊斋</font>\n
书签（字）	书签（字）<br>谜底：<font color="#FFFFFF">颊</font>\n
书"制怒"挂于壁上（三字电脑名词）	书"制怒"挂于壁上（三字电脑名词）<br>谜底：<font color="#FFFFFF">防火墙</font>\n
书蠹。 (成语)	书蠹。 (成语)<br>谜底：<font color="#FFFFFF">咬文嚼字 </font>\n
曙光。 （打一国产故事片名）  	曙光。 （打一国产故事片名）  <br>谜底：<font color="#FFFFFF">冲破黎明前的黑暗  </font>\n
蜀地丛莽。 （打一亚洲国名） 	蜀地丛莽。 （打一亚洲国名） <br>谜底：<font color="#FFFFFF">巴林 </font>\n
鼠年预测（词牌名）	鼠年预测（词牌名）<br>谜底：<font color="#FFFFFF">卜算子</font>\n
树苗。 （打一国产故事片名）  	树苗。 （打一国产故事片名）  <br>谜底：<font color="#FFFFFF">樱  </font>\n
树上一朵花，开的格外大， 有藤没有叶，爬上大树杈， 会说又会唱，是位宣传家。 （打一电讯用具）  	树上一朵花，开的格外大， 有藤没有叶，爬上大树杈， 会说又会唱，是位宣传家。 （打一电讯用具）  <br>谜底：<font color="#FFFFFF">广播喇叭  </font>\n
树上有个歌唱家， 娶个"媳妇"是哑巴； 生下孩儿命运苦， 地牢里面渡生涯。 	树上有个歌唱家， 娶个"媳妇"是哑巴； 生下孩儿命运苦， 地牢里面渡生涯。 <br>谜底：<font color="#FFFFFF">蝉</font>\n
树在台下栽，不是困杏呆 （字） 	树在台下栽，不是困杏呆 （字） <br>谜底：<font color="#FFFFFF">束</font>\n
树中栖鸟闻叽声（字）	树中栖鸟闻叽声（字）<br>谜底：<font color="#FFFFFF">鸡</font>\n
庶民同欢（饮料名）	庶民同欢（饮料名）<br>谜底：<font color="#FFFFFF">乐百氏</font>\n
霜刃未曾试（四字影片名）	霜刃未曾试（四字影片名）<br>谜底：<font color="#FFFFFF">长空利剑</font>\n
霜叶红于二月花。 （打毛主席诗词一句）  	霜叶红于二月花。 （打毛主席诗词一句）  <br>谜底：<font color="#FFFFFF">不似春光，胜似春光  </font>\n
双方不分上下（影视演员）	双方不分上下（影视演员）<br>谜底：<font color="#FFFFFF">吕中</font>\n
双方对不对（歌星）	双方对不对（歌星）<br>谜底：<font color="#FFFFFF">咪咪</font>\n
双方各得六十分（六字成语）	双方各得六十分（六字成语）<br>谜底：<font color="#FFFFFF">此一时，彼一时</font>\n
双脚跳跳，吵吵闹闹， 吃虫吃粮，功大过小。 	双脚跳跳，吵吵闹闹， 吃虫吃粮，功大过小。 <br>谜底：<font color="#FFFFFF">麻雀</font>\n
双人走钢丝 （字 ）	双人走钢丝 （字 ）<br>谜底：<font color="#FFFFFF">丛</font>\n
双手横握大铁铲， 大声歌唱朝前赶， 祖国建设打先锋， 能填海来能移山。 （打一农机） 	双手横握大铁铲， 大声歌唱朝前赶， 祖国建设打先锋， 能填海来能移山。 （打一农机） <br>谜底：<font color="#FFFFFF">推土机 </font>\n
双手赞成。 （成语）	双手赞成。 （成语）<br>谜底：<font color="#FFFFFF">多此一举 </font>\n
双手赞成。 （打一体育项目） 	双手赞成。 （打一体育项目） <br>谜底：<font color="#FFFFFF">举重 </font>\n
双手抓不起，一刀劈不开， 煮饭和洗衣，都要请它来。 （打一自然物） 	双手抓不起，一刀劈不开， 煮饭和洗衣，都要请它来。 （打一自然物） <br>谜底：<font color="#FFFFFF">水</font>\n
双喜临门	双喜临门<br>谜底：<font color="#FFFFFF">是重庆</font>\n
双星桥在市中心 （字 ）	双星桥在市中心 （字 ）<br>谜底：<font color="#FFFFFF">帝</font>\n
谁也知他最热心， 不欺老少不嫌贫， 不怕风吹和雨打， 夜夜辛苦伴行人。 （打一交通设施）  	谁也知他最热心， 不欺老少不嫌贫， 不怕风吹和雨打， 夜夜辛苦伴行人。 （打一交通设施）  <br>谜底：<font color="#FFFFFF">路灯  </font>\n
水（成语）	水（成语）<br>谜底：<font color="#FFFFFF">小心翼翼</font>\n
水变汽。（打一物理名词）  	水变汽。（打一物理名词）  <br>谜底：<font color="#FFFFFF">蒸发  </font>\n
水冲不走，火烧不掉， 吃了不饱，人人需要。 （打一自然物） 	水冲不走，火烧不掉， 吃了不饱，人人需要。 （打一自然物） <br>谜底：<font color="#FFFFFF">空气</font>\n
水雷。 	水雷。 <br>谜底：<font color="#FFFFFF">一触即发 </font>\n
水里生来水里长， 小时绿来老时黄， 去掉外壳黄金甲， 煮成白饭喷鼻香。 	水里生来水里长， 小时绿来老时黄， 去掉外壳黄金甲， 煮成白饭喷鼻香。 <br>谜底：<font color="#FFFFFF">水稻</font>\n
水陆不通	水陆不通<br>谜底：<font color="#FFFFFF">山海关! </font>\n
水陆各半。（打一拉丁美洲国家名） 	水陆各半。（打一拉丁美洲国家名） <br>谜底：<font color="#FFFFFF">海地 </font>\n
水陆要塞。（打河北一地名	水陆要塞。（打河北一地名<br>谜底：<font color="#FFFFFF">）  山海关  </font>\n
水陆要塞。（打河北一地名） 	水陆要塞。（打河北一地名） <br>谜底：<font color="#FFFFFF">山海关 </font>\n
水落石出 （字 ）	水落石出 （字 ）<br>谜底：<font color="#FFFFFF">泵</font>\n
水上分别。（打一物理名词）  	水上分别。（打一物理名词）  <br>谜底：<font color="#FFFFFF">游离  </font>\n
水上人家（字）#############      </td>	水上人家（字）#############      </td><br>谜底：<font color="#FFFFFF">沪 </font>\n
水上一只铃，摇晃没声音， 仔细看一看，满脸大眼睛。 	水上一只铃，摇晃没声音， 仔细看一看，满脸大眼睛。 <br>谜底：<font color="#FFFFFF">莲蓬</font>\n
水中一西瓜， 浑身长疙瘩， 谁若碰上它， 海底喂鱼虾。 （打一武器） 	水中一西瓜， 浑身长疙瘩， 谁若碰上它， 海底喂鱼虾。 （打一武器） <br>谜底：<font color="#FFFFFF">水雷</font>\n
水皱眉，树摇头， 草弯腰，云逃走。（打一自然现象） 	水皱眉，树摇头， 草弯腰，云逃走。（打一自然现象） <br>谜底：<font color="#FFFFFF">风</font>\n
顺航(打一成语) 	顺航(打一成语) <br>谜底：<font color="#FFFFFF">一路平安</font>\n
说不叫说,拿不叫拿（字）	说不叫说,拿不叫拿（字）<br>谜底：<font color="#FFFFFF">最</font>\n
说出圆又圆,写出是九点（字）	说出圆又圆,写出是九点（字）<br>谜底：<font color="#FFFFFF">丸</font>\n
说个宝，道个宝， 万物生存离不了， 生你身边看不见， 越往高处它越少。（打一自然物） 	说个宝，道个宝， 万物生存离不了， 生你身边看不见， 越往高处它越少。（打一自然物） <br>谜底：<font color="#FFFFFF">空气</font>\n
说话口气。 （打一体育项目） 	说话口气。 （打一体育项目） <br>谜底：<font color="#FFFFFF">柔道 </font>\n
